Date,Price,Open,High,Low,Vol,Change %
2022-09-28,3.4494,3.2545,3.4657,3.205,22.64K,5.81%
2022-09-27,3.2599,3.1389,3.2855,3.124,20.16K,4.18%
2022-09-26,3.1291,3.2514,3.2663,3.1085,23.69K,-3.34%
2022-09-23,3.2371,3.4112,3.4114,3.2059,25.30K,-5.11%
2022-09-22,3.4115,3.3319,3.4758,3.3057,31.59K,2.33%
2022-09-21,3.3338,3.3762,3.499,3.263,33.86K,-1.14%
2022-09-20,3.3722,3.3285,3.3877,3.2896,35.77K,1.85%
2022-09-19,3.3108,3.1878,3.324,3.1304,42.24K,4.36%
2022-09-16,3.1725,3.2096,3.2699,3.1573,37.21K,-1.02%
2022-09-15,3.2052,3.379,3.3968,3.145,62.83K,-5.14%
2022-09-14,3.3789,3.5529,3.5558,3.3256,63.77K,-4.59%
2022-09-13,3.5413,3.6097,3.6596,3.485,44.05K,-1.72%
2022-09-12,3.6031,3.5743,3.705,3.5589,40.97K,0.68%
2022-09-09,3.5787,3.5366,3.6108,3.5201,40.46K,1.09%
2022-09-08,3.5401,3.5615,3.6057,3.4826,43.43K,-1.28%
2022-09-07,3.586,3.5738,3.6234,3.4959,40.90K,0.34%
2022-09-06,3.5738,3.5825,3.7771,3.5375,50.46K,-3.54%
2022-09-05,3.705,3.7077,3.7754,3.6664,,-0.07%
2022-09-04,3.7077,3.6436,3.7083,3.6431,,3.62%
2022-09-02,3.578,3.5575,3.6827,3.5172,53.55K,0.47%
2022-09-01,3.5612,3.6511,3.653,3.4433,56.11K,-4.15%
2022-08-31,3.7154,3.8312,3.8313,3.6946,2.13K,-2.66%
2022-08-30,3.8171,3.929,3.9531,3.722,13.44K,-2.37%
2022-08-29,3.9099,3.9975,4.0232,3.8774,12.31K,-2.44%
2022-08-26,4.0076,3.9596,4.0403,3.9491,17.89K,1.48%
2022-08-25,3.9491,4.0354,4.1154,3.9364,21.59K,-1.60%
2022-08-24,4.0132,3.8392,4.0381,3.8101,27.38K,4.46%
2022-08-23,3.8419,3.772,3.868,3.752,20.04K,1.74%
2022-08-22,3.7762,3.696,3.7835,3.6489,22.84K,2.05%
2022-08-19,3.7005,3.6551,3.7391,3.5662,26.96K,1.39%
2022-08-18,3.6497,3.6085,3.6874,3.5817,33.67K,0.89%
2022-08-17,3.6174,3.4802,3.6213,3.4528,39.64K,3.94%
2022-08-16,3.4802,3.4276,3.5085,3.4194,30.62K,1.16%
2022-08-15,3.4403,3.51,3.5337,3.3752,33.22K,-2.20%
2022-08-12,3.5178,3.4891,3.55,3.4521,33.60K,0.97%
2022-08-11,3.484,3.4061,3.5262,3.3893,38.51K,2.16%
2022-08-10,3.4103,3.3319,3.4344,3.2458,37.60K,2.29%
2022-08-09,3.3338,3.1913,3.3545,3.1812,46.66K,4.87%
2022-08-08,3.1791,3.2065,3.2329,3.1424,46.77K,-1.14%
2022-08-05,3.2159,3.2933,3.329,3.1805,50.47K,-3.63%
2022-08-04,3.3372,3.4248,3.4548,3.2813,42.18K,-2.27%
2022-08-03,3.4148,3.3769,3.5055,3.3414,37.24K,1.02%
2022-08-02,3.3804,3.4365,3.4533,3.33,37.78K,-1.73%
2022-08-01,3.44,3.5422,3.5584,3.4017,45.47K,-5.10%
2022-07-29,3.6247,3.71,3.7858,3.6043,1.82K,-1.67%
2022-07-28,3.6863,3.7291,3.8063,3.64,13.43K,-0.83%
2022-07-27,3.7173,3.5897,3.7423,3.5581,17.01K,3.72%
2022-07-26,3.5839,3.5129,3.6148,3.501,21.32K,1.91%
2022-07-25,3.5166,3.47,3.5647,3.3949,26.38K,1.77%
2022-07-22,3.4556,3.591,3.6622,3.4329,26.01K,-3.75%
2022-07-21,3.5903,3.627,3.6289,3.4234,26.67K,-0.39%
2022-07-20,3.6043,3.6308,3.6631,3.5205,23.31K,-0.62%
2022-07-19,3.6268,3.6338,3.6662,3.5082,28.55K,-0.79%
2022-07-18,3.6555,3.6997,3.7577,3.6177,33.67K,-1.18%
2022-07-15,3.699,3.6725,3.7465,3.5926,28.18K,1.36%
2022-07-14,3.6494,3.6794,3.7195,3.5006,36.52K,-0.45%
2022-07-13,3.6659,3.6521,3.7602,3.6018,36.43K,0.09%
2022-07-12,3.6626,3.7659,3.7815,3.5861,34.84K,-2.80%
2022-07-11,3.7681,3.6447,3.803,3.6274,38.69K,2.59%
2022-07-08,3.6729,3.67,3.7042,3.5411,41.96K,-0.03%
2022-07-07,3.6739,3.4296,3.7086,3.3701,49.72K,7.72%
2022-07-06,3.4106,3.584,3.662,3.351,54.58K,-5.30%
2022-07-05,3.6016,3.952,3.9851,3.566,62.25K,-8.93%
2022-07-04,3.9546,3.9626,3.9856,3.8616,,-0.19%
2022-07-03,3.9623,3.9475,3.9678,3.9466,,0.59%
2022-07-01,3.9389,3.8485,4.0264,3.8136,48.20K,1.04%
2022-06-30,3.8982,4.037,4.05,3.8251,2.41K,-3.43%
2022-06-29,4.0367,4.1995,4.2344,4.0059,17.48K,-3.87%
2022-06-28,4.1994,4.2701,4.333,4.0425,18.26K,-0.73%
2022-06-27,4.2302,4.35,4.3773,4.2173,23.80K,-3.04%
2022-06-24,4.3629,4.3251,4.3937,4.3023,25.62K,0.58%
2022-06-23,4.3379,4.3923,4.418,4.2629,24.81K,-1.51%
2022-06-22,4.4046,4.3726,4.4135,4.2096,25.94K,1.06%
2022-06-21,4.3584,4.3434,4.5418,4.3135,32.57K,-2.87%
2022-06-20,4.4874,4.3819,4.4893,4.3111,,2.41%
2022-06-19,4.3819,4.3835,4.398,4.3793,,0.97%
2022-06-17,4.3398,4.5719,4.6444,4.2936,34.52K,-5.06%
2022-06-16,4.5713,4.532,4.5825,4.4124,28.27K,0.53%
2022-06-15,4.547,4.3816,4.607,4.3557,36.91K,3.48%
2022-06-14,4.394,4.2749,4.457,4.2488,36.65K,2.58%
2022-06-13,4.2834,4.3612,4.3762,4.1949,46.41K,-1.91%
2022-06-10,4.3667,4.4187,4.5135,4.3155,38.66K,-0.84%
2022-06-09,4.4037,4.3319,4.4667,4.2529,46.60K,2.07%
2022-06-08,4.3143,4.3177,4.3512,4.28,47.56K,-0.15%
2022-06-07,4.3206,4.3877,4.4025,4.2466,50.48K,-0.91%
2022-06-06,4.3601,4.3026,4.4084,4.2565,45.14K,1.86%
2022-06-03,4.2803,4.2696,4.3504,4.1969,44.54K,1.71%
2022-06-02,4.2084,4.1472,4.2924,4.0271,48.64K,1.57%
2022-06-01,4.1433,4.02,4.1716,3.9702,42.12K,1.28%
